Candidate,Party
Kenneth Vestergaard,UDEN
Anders Andreasen,A
Lars Fibæk,A
Karin Gaardsted,A
Mogens Jensen,A
Thomas Jensen,A
Annette Lind,A
Tina Mortensen,A
Mette Nielsen,A
Anne Paulin,A
Peter Kempf Pedersen,A
Per Kamp Stefansen,A
Johan Brødsgaard,B
Signe Driefer,B
Michael Flarup,B
Kathrine Olldag,B
Josefine Schlosser,B
Keld Marstrand Wang,B
Lise Bertelsen,C
Mogens Birkelund,C
Ole Gade,C
Bitten Kvist Jakobsen,C
Siff Tang Lassen,C
Michael Norup,C
Søren Pape Poulsen,C
Lennart Qvist,C
Trine Trærup Roungkvist,C
Dina Raabjerg,C
Gitte Willumsen,C
Allan Berg,D
Knud Nielsen,D
Hans Rytter,D
Tenna Røberg,D
Mogens Aaby,D
Meritta Bjerregaard,F
Anders Bøge,F
Karsten Filsø,F
Emma Thorup Jacobsen,F
Niels Kristian Larsen,F
Signe Munk,F
Bente Refslund,F
Carsten Bach,I
Ragnar Dixen,I
Lene Foged,I
Frederik Jacobsen,I
Thorbjørn Jacobsen,I
Helle Jensen,I
Kennet R. Kolby,I
Svend Stein Olsen,I
Mikkel Rentzø,I
Steffen Troldtoft,I
Per Asp,K
Inge Jensen,K
Marianne Karlsmose,K
Jonas Røjkjær Laustsen,K
Karen-Margrethe Lysholm,K
Steffen Markussen,K
Jens Kr. Mølby Nielsen,K
Marcus Sommerbirk,K
Børge Rostgaard Winkel,K
Freya Luna Andersen,M
Nikolaj Gam-Pedersen,M
Jeppe Søe,M
Majbritt Birkholm,O
Kuno F. Danielsen,O
Mikael Jensen,O
Jakob Kjærsgaard,O
Lone Langballe,O
Erling Præstekjær,O
Rishi Balachandran,Q
Ida Lund-Larsen,Q
Ib Bjerregaard,V
Thomas Danielsen,V
Ulrich Fredberg,V
Mads Fuglede,V
Søren Gade,V
Lone Kastberg,V
Carsten Kissmeyer,V
Kristian Pihl Lorentzen,V
Jarl Matthiesen,V
Kenneth Mikkelsen,V
Jacob Vestergaard,V
Vivi Altenburg,Æ
Dennis Flydtkjær,Æ
Betina Kastbjerg,Æ
Morten Vehl,Æ
Maria Temponeras,Ø
Charlotte Lindberg,Ø
Christian I. Jacobsen,Ø
Per Møller Jacobsen,Ø
Aksel Rosager Johansen,Ø
Peter Sig Kristensen,Ø
Frederik Madsen,Ø
Sabrina Christiansen Broch,Ø
Lars Dohn,Ø
Dorte Fløjgaard,Å
Rasmus Foged,Å
Jørn Grønkjær,Å
Kirsten Hindbo,Å
Lars Holstein,Å
Stine Isaksen,Å
Didde Krabbe Johannesen,Å
H.C. Molbech,Å
Karen Predbjørn Klarbæk,UDEN
Camilla Fabricius,A
Dorthe Hindborg,A
Daniel Toft Jakobsen,A
Leif Lahn Jensen,A
Jens Joel,A
Malte Larsen,A
Thomas Monberg,A
Thyge Risvig,A
Iben Sønderup,A
Anna Thusgård,A
Nicolai Wammen,A
Rune Christiansen,B
Rebecca Marie Johansson,B
Susan Kronborg,B
Mia Nybo,B
Katrine Robsøe,B
Hanne Roed,B
Andreas Steenberg,B
Frederik Aagaard Sørensen,B
Isabella Arendt,C
Lotte Friis Böing,C
Kristian Damsgaard,C
Charlotte Green,C
Frederikke Noa Jung,C
Mona Juul,C
Marcus Knuth,C
Anders Krojgaard Lund,C
Klaus Nyengaard,C
Per Urban Olsen,C
Heidi Printzen,C
Søren Vanting,C
Jes Halfdan,D
Karina Kirk,D
Jens K. Lundager,D
Lars Boje Mathiesen,D
Lars Axel Nielsen,D
Inger-Marie Tryde,D
Kirsten Normann Andersen,F
Anna Brændemose,F
Morten Siig Henriksen,F
Sofie Lippert,F
Charlotte Broman Mølbæk,F
Rasmus Nordqvist,F
Søren Lahn Sloth,F
Charlotte Vindeløv,F
Louise Brown,I
Line Brændgaard,I
Kurt Vind Christiansen,I
Michael Valentin Ilsø,I
Steffen Georg Jespersen,I
Jens Meilvang,I
Lisa Perkins,I
